region,region_label,candidate,seed_count,anchor_rmse_mean,anchor_rmse_min,anchor_rmse_max,final_ratio_mean,final_ratio_min,final_ratio_max,late_births_per_population_mean,score,birth_probability,carrying_capacity,pair_duration_mean,lifespan_mean,location_cluster_count,initial_pair_fraction
ssf,Sub-Saharan Africa,52,2,0.20338912196773398,0.11332964845372012,0.29344859548174784,2.9174822471128685,2.76338329764454,3.0715811965811968,0.02453795,0.20338912196773398,0.44,7200.0,26.0,62.0,18,0.45
ssf,Sub-Saharan Africa,74,2,0.20500825787897417,0.15496516570885505,0.2550513500490933,3.522767785900305,3.437299035369775,3.608236536430834,0.0240934,0.20500825787897417,0.52,7200.0,18.0,70.0,18,0.45
ssf,Sub-Saharan Africa,77,2,0.20532859764878092,0.1561258283344611,0.25453136696310075,3.5361215390260057,3.4713983050847457,3.6008447729672652,0.02492565,0.20532859764878092,0.52,7200.0,26.0,70.0,18,0.45
ssf,Sub-Saharan Africa,75,2,0.21763189297968566,0.2004448765518396,0.23481890940753175,3.5528334693748347,3.5287846481876333,3.576882290562036,0.0247294,0.21763189297968566,0.52,7200.0,18.0,78.0,18,0.45
ssf,Sub-Saharan Africa,33,2,0.2199068374820148,0.19649276234957294,0.24332091261445668,2.8848689909426692,2.8478964401294498,2.9218415417558887,0.022167,0.2199068374820148,0.36,12000.0,18.0,78.0,18,0.45
ssf,Sub-Saharan Africa,72,2,0.22033431920203184,0.19820832698433816,0.24246031141972552,2.8755272110420007,2.8304535637149026,2.9206008583690988,0.02115205,0.22033431920203184,0.44,,26.0,78.0,18,0.45
ssf,Sub-Saharan Africa,38,2,0.22690997064416407,0.18170207847452396,0.2721178628138042,2.88163353077576,2.818763326226013,2.944503735325507,0.0243371,0.22690997064416407,0.36,20000.0,18.0,70.0,18,0.45
ssf,Sub-Saharan Africa,36,2,0.23019583294508947,0.1752161266279022,0.28517553926227673,2.8669281534918425,2.7745415318230853,2.9593147751605997,0.02226155,0.23019583294508947,0.36,12000.0,26.0,78.0,18,0.45
ssf,Sub-Saharan Africa,35,2,0.23911056786345128,0.17100107370638473,0.3072200620205178,2.8595743114877017,2.7534833869239015,2.9656652360515023,0.023263449999999998,0.23911056786345128,0.36,12000.0,26.0,70.0,18,0.45
ssf,Sub-Saharan Africa,49,2,0.24303220989788976,0.20526677500223733,0.2807976447935422,2.8394565379198204,2.78372591006424,2.895187165775401,0.0233668,0.24303220989788976,0.44,7200.0,18.0,62.0,18,0.45
ssf,Sub-Saharan Africa,68,2,0.24692811094812617,0.23333998612696683,0.2605162357692855,2.824385947023769,2.8031914893617023,2.845580404685836,0.02165575,0.24692811094812617,0.44,,18.0,70.0,18,0.45
ssf,Sub-Saharan Africa,65,2,0.2684187212333104,0.1893588142984227,0.34747862816819813,3.7315961387627876,3.617363344051447,3.8458289334741287,0.0288722,0.2684187212333104,0.44,20000.0,26.0,70.0,18,0.45
ssf,Sub-Saharan Africa,62,2,0.2803531707101491,0.233253803035998,0.3274525383843002,3.7335049136948517,3.6613076098606645,3.805702217529039,0.028166200000000002,0.2803531707101491,0.44,20000.0,18.0,70.0,18,0.45
ssf,Sub-Saharan Africa,32,2,0.2886952053975558,0.26476773596344344,0.3126226748316681,2.762483957329948,2.729903536977492,2.7950643776824036,0.02171095,0.2886952053975558,0.36,12000.0,18.0,70.0,18,0.45
ssf,Sub-Saharan Africa,40,2,0.2958898019756526,0.26843447470714926,0.3233451292441559,2.7689794238302476,2.7312633832976445,2.806695464362851,0.025391,0.2958898019756526,0.36,20000.0,26.0,62.0,18,0.45
ssf,Sub-Saharan Africa,37,2,0.31800734573051076,0.299753465926849,0.33626122553417254,2.725373581082637,2.701284796573876,2.749462365591398,0.0240813,0.31800734573051076,0.36,20000.0,18.0,62.0,18,0.45
ssf,Sub-Saharan Africa,63,2,0.32793745870146784,0.2508918503196609,0.40498306708327486,3.796881695354135,3.669537136706136,3.9242262540021344,0.02768895,0.32793745870146784,0.44,20000.0,18.0,78.0,18,0.45
ssf,Sub-Saharan Africa,66,2,0.32831647126917063,0.2668416774059606,0.3897912651323806,3.8049778683543316,3.6910656620021527,3.91889007470651,0.027928500000000002,0.32831647126917063,0.44,20000.0,26.0,78.0,18,0.45
ssf,Sub-Saharan Africa,78,2,0.3376742498993439,0.29234728149009104,0.3830012183085968,3.7403723316458155,3.668443496801706,3.8123011664899256,0.02428585,0.3376742498993439,0.52,7200.0,26.0,78.0,18,0.45
ssf,Sub-Saharan Africa,67,2,0.33837990580426897,0.32880858999409773,0.3479512216144402,2.6707708779443253,2.6627408993576016,2.678800856531049,0.02326515,0.33837990580426897,0.44,,18.0,62.0,18,0.45
ssf,Sub-Saharan Africa,70,2,0.338792614776104,0.3058044397197931,0.37178078983241497,2.657922912205567,2.596359743040685,2.71948608137045,0.021262600000000003,0.338792614776104,0.44,,26.0,62.0,18,0.45
ssf,Sub-Saharan Africa,82,2,0.3393449053707769,0.24605446720646054,0.4326353435350932,3.8527125742010675,3.69593147751606,4.0094936708860756,0.030185749999999997,0.3393449053707769,0.52,12000.0,26.0,62.0,18,0.45
ssf,Sub-Saharan Africa,30,2,0.36650289723261903,0.3059512528220824,0.42705454164315565,2.608741163122218,2.5102702702702704,2.707212055974166,0.0190643,0.36650289723261903,0.36,7200.0,26.0,78.0,18,0.45
ssf,Sub-Saharan Africa,79,2,0.38166893812799174,0.35396061469913903,0.40937726155684445,3.923710563455516,3.894179894179894,3.9532412327311373,0.030498450000000003,0.38166893812799174,0.52,12000.0,18.0,62.0,18,0.45
ssf,Sub-Saharan Africa,29,2,0.3857382038695445,0.3561513795649665,0.41532502817412253,2.590373132955209,2.544480171489818,2.6362660944206007,0.0209683,0.3857382038695445,0.36,7200.0,26.0,70.0,18,0.45
ssf,Sub-Saharan Africa,34,2,0.3980413943243438,0.37764442611024723,0.41843836253844036,2.588354045166751,2.5460385438972164,2.6306695464362853,0.024138399999999997,0.3980413943243438,0.36,12000.0,26.0,62.0,18,0.45
